region,actor,flood_scenario,flood_probability_reference,vulnerability_label,predicted_high_vulnerability_share,fail_share,survive_share,dominant_stress_risk_label,median_margin,median_cost_revenue_ratio,median_stressed_margin,median_stressed_cost_revenue_ratio,priority_label,priority_rank,priority_sort_score,priority_reason,recommended_action
Garut,Middlemen,High,0.5499976285304322,High Vulnerability,0.9166666666666666,1.0,0.0,Already Failed,-6500000.0,1.3577741702741704,-24497500.0,1.7651064213564214,Critical,5,1.0,Flood=High; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.36,"Monitor distribution bottleneck, prepare alternative storage, and coordinate pickup/delivery windows."
Garut,Retail,High,0.5499976285304322,High Vulnerability,0.9130434782608696,1.0,0.0,Already Failed,-2600000.0,1.7428571428571429,-4392500.0,2.2657142857142856,Critical,5,1.0,Flood=High; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.74,"Prepare buffer stock, backup suppliers, and consumer price monitoring."
Indramayu,Retail,High,0.5499976285304322,High Vulnerability,1.0,1.0,0.0,Already Failed,-3051000.0,2.1145,-4694550.0,2.74885,Critical,5,1.0,Flood=High; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=2.11,"Prepare buffer stock, backup suppliers, and consumer price monitoring."
Karawang,Retail,High,0.5499976285304322,High Vulnerability,1.0,1.0,0.0,Already Failed,-3070000.0,2.023333333333333,-4826000.0,2.6303333333333336,Critical,5,1.0,Flood=High; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=2.02,"Prepare buffer stock, backup suppliers, and consumer price monitoring."
Karawang,Rice Miller,High,0.5499976285304322,High Vulnerability,0.7142857142857143,1.0,0.0,Already Failed,-5688835.470085483,1.0644027757500236,-32238873.45679012,1.3837236084750306,Critical,5,1.0,Flood=High; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.06,"Secure milling capacity, backup machine schedule, and protect grain-to-rice processing continuity."
Subang,Retail,High,0.5499976285304322,High Vulnerability,0.9473684210526316,1.0,0.0,Already Failed,-2495000.0,1.7333333333333334,-4150000.0,2.2533333333333334,Critical,5,1.0,Flood=High; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.73,"Prepare buffer stock, backup suppliers, and consumer price monitoring."
Tasikmalaya,Middlemen,High,0.5499976285304322,High Vulnerability,0.7931034482758621,1.0,0.0,Already Failed,-7685346.798251651,1.2960858585858586,-20907500.0,1.6849116161616162,Critical,5,1.0,Flood=High; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.30,"Monitor distribution bottleneck, prepare alternative storage, and coordinate pickup/delivery windows."
Tasikmalaya,Retail,High,0.5499976285304322,High Vulnerability,1.0,1.0,0.0,Already Failed,-3053750.0,2.017916666666667,-4869875.0,2.623291666666667,Critical,5,1.0,Flood=High; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=2.02,"Prepare buffer stock, backup suppliers, and consumer price monitoring."
Garut,Wholesaler,High,0.5499976285304322,High Vulnerability,0.72,0.92,0.08,Already Failed,-7000000.0,1.0795454545454546,-27260000.0,1.4034090909090908,Critical,5,0.9840000000000001,Flood=High; Vulnerability=High Vulnerability; FailShare=92%; Median C/R=1.08,Prepare buffer stock and route contingency for bulk distribution.
Subang,Middlemen,High,0.5499976285304322,High Vulnerability,0.4285714285714285,0.8571428571428571,0.1428571428571428,Already Failed,14840000.0,0.9223993288590604,-19780000.0,1.1991191275167783,Critical,5,0.9714285714285715,Flood=High; Vulnerability=High Vulnerability; FailShare=86%; Median C/R=0.92,"Monitor distribution bottleneck, prepare alternative storage, and coordinate pickup/delivery windows."
